"","word","n","n_papers","n_papers_total","p_papers"
"1","machine learning",40,40,262,0.152671755725191
"2","artificial intelligence",21,20,262,0.0763358778625954
"3","algorithmic bias",15,15,262,0.0572519083969466
"4","algorithmic fairness",15,15,262,0.0572519083969466
"5","computer vision",13,13,262,0.049618320610687
"6","algorithmic accountability",11,11,262,0.0419847328244275
"7","language processing",11,11,262,0.0419847328244275
"8","natural language",11,11,262,0.0419847328244275
"9","algorithm auditing",10,10,262,0.0381679389312977
"10","ai ethics",8,8,262,0.0305343511450382
"11","recommender systems",8,8,262,0.0305343511450382
"12","social media",7,7,262,0.0267175572519084
"13","algorithmic audit",6,6,262,0.0229007633587786
"14","bias algorithmic",6,6,262,0.0229007633587786
"15","fairness algorithmic",6,6,262,0.0229007633587786
"16","hate speech",6,6,262,0.0229007633587786
"17","bias ai",5,5,262,0.0190839694656489
"18","black box",5,5,262,0.0190839694656489
"19","fairness data",5,5,262,0.0190839694656489
"20","gender bias",5,5,262,0.0190839694656489
"21","participatory design",5,5,262,0.0190839694656489
"22","algorithm audit",4,4,262,0.0152671755725191
"23","algorithm studies",4,4,262,0.0152671755725191
"24","algorithmic auditing",4,4,262,0.0152671755725191
"25","algorithmic impact",4,4,262,0.0152671755725191
"26","algorithmic systems",4,4,262,0.0152671755725191
"27","bias detection",4,4,262,0.0152671755725191
"28","bias fairness",4,4,262,0.0152671755725191
"29","criminal justice",4,4,262,0.0152671755725191
"30","data protection",5,4,262,0.0152671755725191
"31","ethics algorithmic",4,4,262,0.0152671755725191
"32","fair machine",4,4,262,0.0152671755725191
"33","human centered",4,4,262,0.0152671755725191
"34","impact assessment",4,4,262,0.0152671755725191
"35","search engines",4,4,262,0.0152671755725191
"36","social networks",4,4,262,0.0152671755725191
"37","socio technical",4,4,262,0.0152671755725191
"38","sociotechnical systems",4,4,262,0.0152671755725191
"39","accountability governance",3,3,262,0.0114503816793893
"40","action research",3,3,262,0.0114503816793893
"41","audit artificial",3,3,262,0.0114503816793893
"42","automated decision",3,3,262,0.0114503816793893
"43","box models",3,3,262,0.0114503816793893
"44","centered ai",3,3,262,0.0114503816793893
"45","data collection",3,3,262,0.0114503816793893
"46","data data",5,3,262,0.0114503816793893
"47","decision support",3,3,262,0.0114503816793893
"48","disparate impact",3,3,262,0.0114503816793893
"49","explainable ai",3,3,262,0.0114503816793893
"50","facial recognition",3,3,262,0.0114503816793893
"51","fairness machine",3,3,262,0.0114503816793893
"52","intelligence machine",3,3,262,0.0114503816793893
"53","language models",3,3,262,0.0114503816793893
"54","learning artificial",3,3,262,0.0114503816793893
"55","learning fairness",3,3,262,0.0114503816793893
"56","predictive policing",3,3,262,0.0114503816793893
"57","risk assessment",3,3,262,0.0114503816793893
"58","social credit",3,3,262,0.0114503816793893
"59","technical systems",3,3,262,0.0114503816793893
"60","visual semantics",3,3,262,0.0114503816793893
"61","web search",3,3,262,0.0114503816793893
"62","word embeddings",3,3,262,0.0114503816793893
"63","accountability algorithmic",2,2,262,0.00763358778625954
"64","accountability audit",2,2,262,0.00763358778625954
"65","accountability criminal",2,2,262,0.00763358778625954
"66","accountability fairness",2,2,262,0.00763358778625954
"67","accountability transparency",2,2,262,0.00763358778625954
"68","adversarial attacks",2,2,262,0.00763358778625954
"69","age bias",2,2,262,0.00763358778625954
"70","ai bias",2,2,262,0.00763358778625954
"71","ai fairness",2,2,262,0.00763358778625954
"72","ai policy",2,2,262,0.00763358778625954
"73","ai social",2,2,262,0.00763358778625954
"74","ai visual",2,2,262,0.00763358778625954
"75","algorithmic audits",2,2,262,0.00763358778625954
"76","algorithmic decision",2,2,262,0.00763358778625954
"77","assessment impact",2,2,262,0.00763358778625954
"78","audit algorithmic",2,2,262,0.00763358778625954
"79","audit bias",2,2,262,0.00763358778625954
"80","audit search",2,2,262,0.00763358778625954
"81","auditing algorithms",2,2,262,0.00763358778625954
"82","aware machine",2,2,262,0.00763358778625954
"83","bias algorithm",2,2,262,0.00763358778625954
"84","bias data",2,2,262,0.00763358778625954
"85","bias disparate",2,2,262,0.00763358778625954
"86","bias gender",2,2,262,0.00763358778625954
"87","bias mitigation",2,2,262,0.00763358778625954
"88","bias social",2,2,262,0.00763358778625954
"89","causal inference",2,2,262,0.00763358778625954
"90","child welfare",2,2,262,0.00763358778625954
"91","cloud computing",2,2,262,0.00763358778625954
"92","computers society",2,2,262,0.00763358778625954
"93","covid 19",2,2,262,0.00763358778625954
"94","credit system",2,2,262,0.00763358778625954
"95","critical algorithm",2,2,262,0.00763358778625954
"96","critical data",2,2,262,0.00763358778625954
"97","data algorithm",2,2,262,0.00763358778625954
"98","data mining",2,2,262,0.00763358778625954
"99","data portability",2,2,262,0.00763358778625954
"100","data quality",2,2,262,0.00763358778625954
"101","datasets bias",2,2,262,0.00763358778625954
"102","decision systems",2,2,262,0.00763358778625954
"103","deep learning",2,2,262,0.00763358778625954
"104","design algorithmic",2,2,262,0.00763358778625954
"105","detection adversarial",2,2,262,0.00763358778625954
"106","documentation debt",2,2,262,0.00763358778625954
"107","equal opportunity",2,2,262,0.00763358778625954
"108","ethics bias",2,2,262,0.00763358778625954
"109","explainability explainable",2,2,262,0.00763358778625954
"110","fairness accountability",2,2,262,0.00763358778625954
"111","fairness audit",2,2,262,0.00763358778625954
"112","fairness aware",2,2,262,0.00763358778625954
"113","fairness computer",2,2,262,0.00763358778625954
"114","fairness critical",2,2,262,0.00763358778625954
"115","fairness datasets",2,2,262,0.00763358778625954
"116","fairness socio",2,2,262,0.00763358778625954
"117","gender audit",2,2,262,0.00763358778625954
"118","gender race",2,2,262,0.00763358778625954
"119","genotyping software",2,2,262,0.00763358778625954
"120","governance accountability",2,2,262,0.00763358778625954
"121","harm accountability",2,2,262,0.00763358778625954
"122","identity gender",2,2,262,0.00763358778625954
"123","image tagging",2,2,262,0.00763358778625954
"124","impact assessments",2,2,262,0.00763358778625954
"125","impact harm",2,2,262,0.00763358778625954
"126","information retrieval",2,2,262,0.00763358778625954
"127","justice software",2,2,262,0.00763358778625954
"128","multimodal bias",2,2,262,0.00763358778625954
"129","neural networks",2,2,262,0.00763358778625954
"130","news media",2,2,262,0.00763358778625954
"131","online advertising",2,2,262,0.00763358778625954
"132","participatory action",2,2,262,0.00763358778625954
"133","personal data",2,2,262,0.00763358778625954
"134","popularity bias",2,2,262,0.00763358778625954
"135","price discrimination",2,2,262,0.00763358778625954
"136","privacy social",2,2,262,0.00763358778625954
"137","probabilistic genotyping",2,2,262,0.00763358778625954
"138","protection regulation",2,2,262,0.00763358778625954
"139","public services",2,2,262,0.00763358778625954
"140","qualitative methods",2,2,262,0.00763358778625954
"141","race ethnicity",2,2,262,0.00763358778625954
"142","racial bias",2,2,262,0.00763358778625954
"143","recommendation bias",2,2,262,0.00763358778625954
"144","recommendation popularity",2,2,262,0.00763358778625954
"145","science technology",2,2,262,0.00763358778625954
"146","search engine",2,2,262,0.00763358778625954
"147","search media",2,2,262,0.00763358778625954
"148","security privacy",2,2,262,0.00763358778625954
"149","semantics language",2,2,262,0.00763358778625954
"150","social impact",2,2,262,0.00763358778625954
"151","software probabilistic",2,2,262,0.00763358778625954
"152","software quality",2,2,262,0.00763358778625954
"153","software testing",2,2,262,0.00763358778625954
"154","speaker recognition",2,2,262,0.00763358778625954
"155","speaker verification",2,2,262,0.00763358778625954
"156","speech recognition",2,2,262,0.00763358778625954
"157","speech text",2,2,262,0.00763358778625954
"158","statistical parity",2,2,262,0.00763358778625954
"159","studies algorithmic",2,2,262,0.00763358778625954
"160","studies critical",2,2,262,0.00763358778625954
"161","systems data",2,2,262,0.00763358778625954
"162","tagging algorithms",2,2,262,0.00763358778625954
"163","technology policy",2,2,262,0.00763358778625954
"164","user experience",2,2,262,0.00763358778625954
"165","user interface",2,2,262,0.00763358778625954
"166","verification bias",2,2,262,0.00763358778625954
"167","vision fairness",2,2,262,0.00763358778625954
"168","voice assistant",2,2,262,0.00763358778625954
"169","voice assistants",2,2,262,0.00763358778625954
"170","19 pandemic",1,1,262,0.00381679389312977
"171","19 risk",1,1,262,0.00381679389312977
"172","3.5 online",1,1,262,0.00381679389312977
"173","4 social",1,1,262,0.00381679389312977
"174","4.1 computers",1,1,262,0.00381679389312977
"175","4.2 social",1,1,262,0.00381679389312977
"176","5 information",1,1,262,0.00381679389312977
"177","access control",1,1,262,0.00381679389312977
"178","access personal",1,1,262,0.00381679389312977
"179","accessibility alt",1,1,262,0.00381679389312977
"180","accessibility human",1,1,262,0.00381679389312977
"181","accountability algorithm",1,1,262,0.00381679389312977
"182","accountability applications",1,1,262,0.00381679389312977
"183","accountability artificial",1,1,262,0.00381679389312977
"184","accountability forecasting",1,1,262,0.00381679389312977
"185","accountability gdpr",1,1,262,0.00381679389312977
"186","accountability government",1,1,262,0.00381679389312977
"187","accountability infrastructure",1,1,262,0.00381679389312977
"188","accountability infrastructures",1,1,262,0.00381679389312977
"189","accountability instant",1,1,262,0.00381679389312977
"190","accountability law",1,1,262,0.00381679389312977
"191","accountability machine",1,1,262,0.00381679389312977
"192","accountability mobile",1,1,262,0.00381679389312977
"193","accountability overbooking",1,1,262,0.00381679389312977
"194","accountability participatory",1,1,262,0.00381679389312977
"195","accountability political",1,1,262,0.00381679389312977
"196","accountability protective",1,1,262,0.00381679389312977
"197","accountability responsible",1,1,262,0.00381679389312977
"198","accountability society",1,1,262,0.00381679389312977
"199","accountability structural",1,1,262,0.00381679389312977
"200","accountability theory",1,1,262,0.00381679389312977
"201","accountability voice",1,1,262,0.00381679389312977
"202","accuracy uncertainty",1,1,262,0.00381679389312977
"203","action units",1,1,262,0.00381679389312977
"204","activity discovery",1,1,262,0.00381679389312977
"205","activity recognition",1,1,262,0.00381679389312977
"206","activity tracking",1,1,262,0.00381679389312977
"207","ad delivery",1,1,262,0.00381679389312977
"208","adaptation machine",1,1,262,0.00381679389312977
"209","administration predictive",1,1,262,0.00381679389312977
"210","administrations ai",1,1,262,0.00381679389312977
"211","adolescents teens",1,1,262,0.00381679389312977
"212","ads causal",1,1,262,0.00381679389312977
"213","ads facebook",1,1,262,0.00381679389312977
"214","ads targeted",1,1,262,0.00381679389312977
"215","adults aging",1,1,262,0.00381679389312977
"216","adversarial scrutiny",1,1,262,0.00381679389312977
"217","adversarial training",1,1,262,0.00381679389312977
"218","adverse impact",1,1,262,0.00381679389312977
"219","advertisements targeting",1,1,262,0.00381679389312977
"220","advertising ad",1,1,262,0.00381679389312977
"221","advertising algorithm",1,1,262,0.00381679389312977
"222","advertising algorithmic",1,1,262,0.00381679389312977
"223","advertising facebook",1,1,262,0.00381679389312977
"224","advertising fairness",1,1,262,0.00381679389312977
"225","advocacy user",1,1,262,0.00381679389312977
"226","affective community",1,1,262,0.00381679389312977
"227","affective computing",1,1,262,0.00381679389312977
"228","age race",1,1,262,0.00381679389312977
"229","agent home",1,1,262,0.00381679389312977
"230","agent requirements",1,1,262,0.00381679389312977
"231","aging accessibility",1,1,262,0.00381679389312977
"232","ai ai",1,1,262,0.00381679389312977
"233","ai audit",1,1,262,0.00381679389312977
"234","ai auditing",1,1,262,0.00381679389312977
"235","ai cognitive",1,1,262,0.00381679389312977
"236","ai explanation",1,1,262,0.00381679389312977
"237","ai fate",1,1,262,0.00381679389312977
"238","ai guidelines",1,1,262,0.00381679389312977
"239","ai harm",1,1,262,0.00381679389312977
"240","ai impacted",1,1,262,0.00381679389312977
"241","ai intelligent",1,1,262,0.00381679389312977
"242","ai interaction",1,1,262,0.00381679389312977
"243","ai interactive",1,1,262,0.00381679389312977
"244","ai markedness",1,1,262,0.00381679389312977
"245","ai multimodal",1,1,262,0.00381679389312977
"246","ai post",1,1,262,0.00381679389312977
"247","ai principles",1,1,262,0.00381679389312977
