"","word","n","n_papers","n_papers_total","p_papers"
"1","machine learning",130,81,337,0.240356083086053
"2","real world",46,39,337,0.115727002967359
"3","artificial intelligence",40,33,337,0.0979228486646884
"4","algorithmic fairness",38,20,337,0.0593471810089021
"5","algorithmic systems",29,19,337,0.056379821958457
"6","ai systems",21,17,337,0.0504451038575668
"7","learning algorithms",20,17,337,0.0504451038575668
"8","computer vision",31,16,337,0.0474777448071217
"9","race gender",21,16,337,0.0474777448071217
"10","training data",24,16,337,0.0474777448071217
"11","intelligence ai",15,15,337,0.0445103857566766
"12","learning models",19,15,337,0.0445103857566766
"13","natural language",15,15,337,0.0445103857566766
"14","algorithmic decision",15,14,337,0.0415430267062315
"15","black box",20,14,337,0.0415430267062315
"16","social media",21,14,337,0.0415430267062315
"17","language processing",13,13,337,0.0385756676557863
"18","data driven",16,11,337,0.0326409495548961
"19","learning ml",11,11,337,0.0326409495548961
"20","search results",23,11,337,0.0326409495548961
"21","deep learning",10,10,337,0.029673590504451
"22","gender bias",25,10,337,0.029673590504451
"23","models trained",11,10,337,0.029673590504451
"24","socio technical",11,10,337,0.029673590504451
"25","finally discuss",9,9,337,0.0267062314540059
"26","future research",9,9,337,0.0267062314540059
"27","language models",13,9,337,0.0267062314540059
"28","paper investigate",9,9,337,0.0267062314540059
"29","results demonstrate",9,9,337,0.0267062314540059
"30","algorithmic accountability",17,8,337,0.0237388724035608
"31","data collected",8,8,337,0.0237388724035608
"32","data collection",9,8,337,0.0237388724035608
"33","decision systems",9,8,337,0.0237388724035608
"34","discuss potential",8,8,337,0.0237388724035608
"35","age gender",7,7,337,0.0207715133531157
"36","algorithmic audit",8,7,337,0.0207715133531157
"37","algorithmic audits",11,7,337,0.0207715133531157
"38","bias mitigation",8,7,337,0.0207715133531157
"39","criminal justice",9,7,337,0.0207715133531157
"40","discuss implications",7,7,337,0.0207715133531157
"41","ground truth",9,7,337,0.0207715133531157
"42","health care",10,7,337,0.0207715133531157
"43","law enforcement",10,7,337,0.0207715133531157
"44","public sector",11,7,337,0.0207715133531157
"45","risk assessment",9,7,337,0.0207715133531157
"46","software systems",12,7,337,0.0207715133531157
"47","world datasets",7,7,337,0.0207715133531157
"48","advertising platforms",6,6,337,0.0178041543026706
"49","age race",6,6,337,0.0178041543026706
"50","algorithmic bias",8,6,337,0.0178041543026706
"51","algorithmic impact",6,6,337,0.0178041543026706
"52","bias discrimination",7,6,337,0.0178041543026706
"53","data protection",9,6,337,0.0178041543026706
"54","empirical study",7,6,337,0.0178041543026706
"55","facial recognition",9,6,337,0.0178041543026706
"56","fairness accountability",6,6,337,0.0178041543026706
"57","gender age",6,6,337,0.0178041543026706
"58","hate speech",13,6,337,0.0178041543026706
"59","impact assessments",12,6,337,0.0178041543026706
"60","learning datasets",8,6,337,0.0178041543026706
"61","learning model",6,6,337,0.0178041543026706
"62","ml models",9,6,337,0.0178041543026706
"63","paper propose",6,6,337,0.0178041543026706
"64","post hoc",8,6,337,0.0178041543026706
"65","potential harms",6,6,337,0.0178041543026706
"66","public health",6,6,337,0.0178041543026706
"67","researchers practitioners",6,6,337,0.0178041543026706
"68","search engines",9,6,337,0.0178041543026706
"69","study investigate",6,6,337,0.0178041543026706
"70","targeted advertising",11,6,337,0.0178041543026706
"71","wide range",6,6,337,0.0178041543026706
"72","accountability transparency",5,5,337,0.0148367952522255
"73","accuracy fairness",6,5,337,0.0148367952522255
"74","address gap",5,5,337,0.0148367952522255
"75","ai based",6,5,337,0.0148367952522255
"76","algorithmic auditing",5,5,337,0.0148367952522255
"77","automated decision",5,5,337,0.0148367952522255
"78","based systems",5,5,337,0.0148367952522255
"79","benchmark dataset",5,5,337,0.0148367952522255
"80","black boxes",7,5,337,0.0148367952522255
"81","covid 19",8,5,337,0.0148367952522255
"82","data science",7,5,337,0.0148367952522255
"83","data sets",12,5,337,0.0148367952522255
"84","data train",5,5,337,0.0148367952522255
"85","decision processes",6,5,337,0.0148367952522255
"86","disparate impact",8,5,337,0.0148367952522255
"87","extensive experiments",5,5,337,0.0148367952522255
"88","facial analysis",10,5,337,0.0148367952522255
"89","fair machine",5,5,337,0.0148367952522255
"90","findings suggest",5,5,337,0.0148367952522255
"91","gender racial",7,5,337,0.0148367952522255
"92","growing body",5,5,337,0.0148367952522255
"93","human centered",5,5,337,0.0148367952522255
"94","learning community",6,5,337,0.0148367952522255
"95","media platforms",5,5,337,0.0148367952522255
"96","mitigating bias",5,5,337,0.0148367952522255
"97","neural network",6,5,337,0.0148367952522255
"98","neural networks",6,5,337,0.0148367952522255
"99","online advertising",7,5,337,0.0148367952522255
"100","paper explore",5,5,337,0.0148367952522255
"101","paper explores",5,5,337,0.0148367952522255
"102","personal data",6,5,337,0.0148367952522255
"103","protection regulation",5,5,337,0.0148367952522255
"104","quality assurance",9,5,337,0.0148367952522255
"105","recognition systems",7,5,337,0.0148367952522255
"106","recommendation algorithms",6,5,337,0.0148367952522255
"107","sensitive attributes",5,5,337,0.0148367952522255
"108","social networks",5,5,337,0.0148367952522255
"109","systems increasingly",5,5,337,0.0148367952522255
"110","technical systems",5,5,337,0.0148367952522255
"111","trade offs",5,5,337,0.0148367952522255
"112","transparency accountability",5,5,337,0.0148367952522255
"113","user study",5,5,337,0.0148367952522255
"114","word embeddings",7,5,337,0.0148367952522255
"115","19 pandemic",4,4,337,0.0118694362017804
"116","2018 u.s",6,4,337,0.0118694362017804
"117","access information",5,4,337,0.0118694362017804
"118","ad delivery",21,4,337,0.0118694362017804
"119","affected communities",4,4,337,0.0118694362017804
"120","algorithm audit",4,4,337,0.0118694362017804
"121","algorithm audits",4,4,337,0.0118694362017804
"122","algorithmic unfairness",4,4,337,0.0118694362017804
"123","analysis data",4,4,337,0.0118694362017804
"124","applications ranging",4,4,337,0.0118694362017804
"125","attention paid",4,4,337,0.0118694362017804
"126","autonomous systems",4,4,337,0.0118694362017804
"127","benchmark datasets",4,4,337,0.0118694362017804
"128","bias machine",4,4,337,0.0118694362017804
"129","collection process",4,4,337,0.0118694362017804
"130","common crawl",4,4,337,0.0118694362017804
"131","credit scoring",5,4,337,0.0118694362017804
"132","crucial role",4,4,337,0.0118694362017804
"133","data analysis",4,4,337,0.0118694362017804
"134","data practices",6,4,337,0.0118694362017804
"135","data set",4,4,337,0.0118694362017804
"136","data sharing",5,4,337,0.0118694362017804
"137","decision maker",5,4,337,0.0118694362017804
"138","disparate impacts",5,4,337,0.0118694362017804
"139","draw attention",4,4,337,0.0118694362017804
"140","driven systems",4,4,337,0.0118694362017804
"141","experimental results",4,4,337,0.0118694362017804
"142","experiments real",4,4,337,0.0118694362017804
"143","fairness justice",4,4,337,0.0118694362017804
"144","field algorithmic",4,4,337,0.0118694362017804
"145","gender race",5,4,337,0.0118694362017804
"146","highlight importance",4,4,337,0.0118694362017804
"147","increasingly popular",4,4,337,0.0118694362017804
"148","justice system",4,4,337,0.0118694362017804
"149","lack transparency",4,4,337,0.0118694362017804
"150","learning methods",5,4,337,0.0118694362017804
"151","learning systems",4,4,337,0.0118694362017804
"152","nlp systems",4,4,337,0.0118694362017804
"153","notions fairness",5,4,337,0.0118694362017804
"154","people color",6,4,337,0.0118694362017804
"155","platforms facebook",4,4,337,0.0118694362017804
"156","processing nlp",4,4,337,0.0118694362017804
"157","proposed methods",4,4,337,0.0118694362017804
"158","protected attributes",8,4,337,0.0118694362017804
"159","provide comprehensive",4,4,337,0.0118694362017804
"160","public policy",4,4,337,0.0118694362017804
"161","public service",4,4,337,0.0118694362017804
"162","quality data",4,4,337,0.0118694362017804
"163","racial disparities",5,4,337,0.0118694362017804
"164","racial ethnic",5,4,337,0.0118694362017804
"165","regulation gdpr",4,4,337,0.0118694362017804
"166","research directions",4,4,337,0.0118694362017804
"167","research questions",5,4,337,0.0118694362017804
"168","results found",4,4,337,0.0118694362017804
"169","results highlight",4,4,337,0.0118694362017804
"170","results suggest",4,4,337,0.0118694362017804
"171","scale datasets",4,4,337,0.0118694362017804
"172","security privacy",4,4,337,0.0118694362017804
"173","sensitive data",4,4,337,0.0118694362017804
"174","shed light",4,4,337,0.0118694362017804
"175","skin type",8,4,337,0.0118694362017804
"176","social sciences",4,4,337,0.0118694362017804
"177","societal impacts",4,4,337,0.0118694362017804
"178","sociotechnical systems",4,4,337,0.0118694362017804
"179","source code",7,4,337,0.0118694362017804
"180","sources bias",4,4,337,0.0118694362017804
"181","structured interviews",4,4,337,0.0118694362017804
"182","text data",4,4,337,0.0118694362017804
"183","training datasets",5,4,337,0.0118694362017804
