"","source","audit_type_condensed","authors","title","urls","journal_series_institution","year","keywords","abstract","source_detailed","audit_type","paper_id"
"1","ACL","Data Audit","Emiel van Miltenburg","How Do Image Description Systems Describe People? A Targeted Assessment of System Competence in the PEOPLE-domain","https://aclanthology.org/2020.lantern-1.4/","ACL/EMNLP",2020,NA,"Evaluations of image description systems are typically domain-general: generated descriptions for the held-out test images are either compared to a set of reference descriptions (using automated metrics), or rated by human judges on one or more Likert scales (for fluency, overall quality, and other quality criteria). While useful, these evaluations do not tell us anything about the kinds of image descriptions that systems are able to produce. Or, phrased differently, these evaluations do not tell us anything about the cognitive capabilities of image description systems. This paper proposes a different kind of assessment, that is able to quantify the extent to which these systems are able to describe humans. This assessment is based on a manual characterisation (a context-free grammar) of English entity labels in the PEOPLE domain, to determine the range of possible outputs. We examined 9 systems to see what kinds of labels they actually use. We found that these systems only use a small subset of at most 13 different kinds of modifiers (e.g. tall and short modify HEIGHT, sad and happy modify MOOD), but 27 kinds of modifiers are never used. Future research could study these semantic dimensions in more detail.","[URL Match | Institution Match] ACL","Data Audit",386
"2","ACL","Data Audit","Alexandra Luccioni, Joseph Viviano","What’s in the Box? An Analysis of Undesirable Content in the Common Crawl Corpus","https://aclanthology.org/2021.acl-short.24/","ACL/EMNLP",2021,NA,"Whereas much of the success of the current generation of neural language models has been driven by increasingly large training corpora, relatively little research has been dedicated to analyzing these massive sources of textual data. In this exploratory analysis, we delve deeper into the Common Crawl, a colossal web corpus that is extensively used for training language models. We find that it contains a significant amount of undesirable content, including hate speech and sexually explicit content, even after filtering procedures. We discuss the potential impacts of this content on language models and conclude with future research directions and a more mindful approach to corpus collection and analysis.","[URL Match | Institution Match] ACL","Data Audit",377
"3","ACL","Data Audit","Su Lin Blodgett, Gilsinia Lopez, Alexandra Olteanu, Robert Sim, Hanna Wallach","Stereotyping Norwegian Salmon: An Inventory of Pitfalls in Fairness Benchmark Datasets","https://aclanthology.org/2021.acl-long.81/","ACL/EMNLP",2021,NA,"Auditing NLP systems for computational harms like surfacing stereotypes is an elusive goal. Several recent efforts have focused on benchmark datasets consisting of pairs of contrastive sentences, which are often accompanied by metrics that aggregate an NLP system’s behavior on these pairs into measurements of harms. We examine four such benchmarks constructed for two NLP tasks: language modeling and coreference resolution. We apply a measurement modeling lens—originating from the social sciences—to inventory a range of pitfalls that threaten these benchmarks’ validity as measurement models for stereotyping. We find that these benchmarks frequently lack clear articulations of what is being measured, and we highlight a range of ambiguities and unstated assumptions that affect how these benchmarks conceptualize and operationalize stereotyping.","[URL Match | Institution Match] ACL","Data Audit",385
"4","ACL","Case Study","Zeerak Talat, Hagen Blix, Josef Valvoda, Maya Indira Ganesh, Ryan Cotterell, Adina Williams","On the Machine Learning of Ethical Judgments from Natural Language","https://aclanthology.org/2022.naacl-main.56.pdf","ACL/EMNLP",2022,NA,"Ethics is one of the longest standing intellectual
endeavors of humanity. In recent years, the
fields of AI and NLP have attempted to address
ethical issues of harmful outcomes in machine
learning systems that are made to interface
with humans. One recent approach in this vein
is the construction of NLP morality models that
can take in arbitrary text and output a moral
judgment about the situation described. In this
work, we offer a critique of such NLP methods
for automating ethical decision-making.
Through an audit of recent work on computa-
tional approaches for predicting morality, we
examine the broader issues that arise from such
efforts. We conclude with a discussion of how
machine ethics could usefully proceed in NLP,
by focusing on current and near-future uses
of technology, in a way that centers around
transparency, democratic values, and allows
for straightforward accountability.","[URL Match | Institution Match] ACL","Case Study",336
"5","ACL","Case Study","Fraser, Kiritchenko, Balkir","Does Moral Code Have a Moral Code?","https://aclanthology.org/2022.trustnlp-1.3.pdf","ACL/EMNLP",2022,NA,"In an effort to guarantee that machine learning
model outputs conform with human moral val-
ues, recent work has begun exploring the pos-
sibility of explicitly training models to learn
the difference between right and wrong. This is
typically done in a bottom-up fashion, by expos-
ing the model to different scenarios, annotated
with human moral judgements. One question,
however, is whether the trained models actually
learn any consistent, higher-level ethical princi-
ples from these datasets – and if so, what? Here,
we probe the Allen AI Delphi model with a set
of standardized morality questionnaires, and
find that, despite some inconsistencies, Delphi
tends to mirror the moral principles associated
with the demographic groups involved in the
annotation process. We question whether this
is desirable and discuss how we might move
forward with this knowledge.","[URL Match | Institution Match] ACL","Case Study",337
"6","ACL","Data Audit","I. Caswell, J. Kreutzer, L. Wang, A. Wahab, D. van Esch, N. Ulzii-Orshikh, A. Tapo, N. Subramani, A. Sokolov, C. Sikasote et al.,","Quality at a glance: An audit of web-crawled multilingual datasets","https://aclanthology.org/2022.tacl-1.4/","ACL/EMNLP",2022,NA,"With the success of large-scale pre-training and multilingual modeling in Natural Language Processing (NLP), recent years have seen a proliferation of large, Web-mined text datasets covering hundreds of languages. We manually audit the quality of 205 language-specific corpora released with five major public datasets (CCAligned, ParaCrawl, WikiMatrix, OSCAR, mC4). Lower-resource corpora have systematic issues: At least 15 corpora have no usable text, and a significant fraction contains less than 50% sentences of acceptable quality. In addition, many are mislabeled or use nonstandard/ambiguous language codes. We demonstrate that these issues are easy to detect even for non-proficient speakers, and supplement the human audit with automatic analyses. Finally, we recommend techniques to evaluate and improve multilingual corpora and discuss potential risks that come with low-quality data releases.","[URL Match | Institution Match] ACL","Data Audit",384
"7","ACMDL - Accountability","Ecosystem","Abdul A,Vermeulen J,Wang D,Lim BY,Kankanhalli M","Trends and Trajectories for Explainable, Accountable and Intelligible Systems: An HCI Research Agenda","https://doi.org/10.1145/3173574.3174156;http://dx.doi.org/10.1145/3173574.3174156","Association for Computing Machinery",2018,"intelligibility, interpretable machine learning, explainable artificial intelli-gence, explanations","Advances in artificial intelligence, sensors and big data management have far-reaching societal impacts. As these systems augment our everyday lives, it becomes increasing-ly important for people to understand them and remain in control. We investigate how HCI researchers can help to develop accountable systems by performing a literature analysis of 289 core papers on explanations and explaina-ble systems, as well as 12,412 citing papers. Using topic modeling, co-occurrence and network analysis, we mapped the research space from diverse domains, such as algorith-mic accountability, interpretable machine learning, context-awareness, cognitive psychology, and software learnability. We reveal fading and burgeoning trends in explainable systems, and identify domains that are closely connected or mostly isolated. The time is ripe for the HCI community to ensure that the powerful new autonomous systems have intelligible interfaces built-in. From our results, we propose several implications and directions for future research to-wards this goal.","ACMDL - Accountability","Ecosystem",22
"8","ACMDL - Accountability","Ecosystem","Veale M,Van Kleek M,Binns R","Fairness and Accountability Design Needs for Algorithmic Support in High-Stakes Public Sector Decision-Making","https://doi.org/10.1145/3173574.3174014;http://dx.doi.org/10.1145/3173574.3174014","Association for Computing Machinery",2018,"public administration, predictive policing, decision-support, algorithmic bias, algorithmic accountability","Calls for heightened consideration of fairness and accountability in algorithmically-informed public decisions-like taxation, justice, and child protection-are now commonplace. How might designers support such human values? We interviewed 27 public sector machine learning practitioners across 5 OECD countries regarding challenges understanding and imbuing public values into their work. The results suggest a disconnect between organisational and institutional realities, constraints and needs, and those addressed by current research into usable, transparent and 'discrimination-aware' machine learning-absences likely to undermine practical initiatives unless addressed. We see design opportunities in this disconnect, such as in supporting the tracking of concept drift in secondary data sources, and in building usable transparency tools to identify risks and incorporate domain knowledge, aimed both at managers and at the 'street-level bureaucrats' on the frontlines of public service. We conclude by outlining ethical challenges and future directions for collaboration in these high-stakes applications.","ACMDL - Accountability","Ecosystem",23
"9","ACMDL - Accountability","Case Study","Bahri L,Carminati B,Ferrari E,Bianco A","Enhanced Audit Strategies for Collaborative and Accountable Data Sharing in Social Networks","https://doi.org/10.1145/3134439;http://dx.doi.org/10.1145/3134439","Association for Computing Machinery",2018,"decentralized social networks, Apriori access control, accountability","Data sharing and access control management is one of the issues still hindering the development of decentralized online social networks (DOSNs), which are now gaining more research attention with the recent developments in P2P computing, such as the secure public ledger–based protocols (Blockchains) for monetary systems. In a previous work, we proposed an initial audit–based model for access control in DOSNs. In this article, we focus on enhancing the audit strategies and the privacy issues emerging from records kept for audit purposes. We propose enhanced audit and collaboration strategies, for which experimental results, on a real online social network graph with simulated sharing behavior, show an improvement in the detection rate of bad behavior of more than 50% compared to the basic model. We also provide an analysis of the related privacy issues and discuss possible privacy-preserving alternatives.","ACMDL - Accountability","Case Study",57
"10","ACMDL - Accountability","Data Audit","Chowdhury N","An IoT and Blockchain-Based Approach for Ensuring Transparency and Accountability in Regulatory Compliance","https://doi.org/10.1145/3341162.3349320;http://dx.doi.org/10.1145/3341162.3349320","Association for Computing Machinery",2019,"trust, regulatory compliance, blockchain, internet of things","Regulatory compliance is an essential exercise in the modern societies confirming safety and prevention of harm to consumers. Despite many efforts from international and national quality control authorities, transparency and accountability in regulatory compliance remain a challenging technical-legal problem sitting atop a heavy reliance on trust. This paper presents a theoretical model of regulatory compliance aiming at improving accountability for systems and data audit and introduces a higher degree of transparency in management and quality control. It explores the technical aspects of two emerging technologies the Internet of Things (IoT) and Blockchain, and using a common use-case in practice shows how to better align these technologies with legal concerns and trust in regulatory compliance.","ACMDL - Accountability","Data Audit",10
